title,description
Dúvida!!!,"Olá, eu gostaria de criar uma conta no Nubank, sou maior de idade, porém, quando fui tentar fazer uma conta dizem que fui apr..."
Nubank Cancelou Meu Seguro de Vida Sem Aviso!,"Tenho um seguro de vida contratado no Nubank desde 2021 e, sem qualquer aviso prévio, ele foi cancelado no dia 25/02/2025. Se..."
Comprovante de Rendimentos 2024 - Nuinvest,"Era cliente da antiga Nuinvest, e optei por não abrir conta na Nubank, e portanto migrei investimentos.No entanto, nece..."
LIMITE NÃO AUMENTA,"Faz muito tempo que meu limite permanece congelado, sem aumento, mesmo depois de eu ter enviado meu contracheque. Eu sou serv..."
Tentei cancelar o empréstimo em menos de 24 horas e não deixaram,Tentei cancelar o empréstimo do Nubank Em menos 24h00 o empréstimo que eu não fiz Porém fiz a reclamação Eles falaram que ia ...
Falta de análise,"Assunto: Solicitação de Análise para Crédito PessoalOlá, equipe Nubank, tudo bem?Sou cliente de vocês..."
Sumiço de dinheiro do saldo da conta,"Agora no mês de fevereiro de 2025, notei que está faltando R$ 25,25 na minha conta, sem que haja algum lançamento negativo qu..."
Cartão de crédito,Oi boa noite poderia reativar meu cartão de crédito
Bloquearam minha conta sem motivos,"Fui usar minha conta e deu erro na transferência pix , depois tentei um novo pagamento que também deu erroEntrei em con..."
Cancelaram minha conta após uma contestação,"Vamos lá, fizeram uma contestação na minha conta, o serviço foi prestado, eu tenho o comprovante tudo certinho, até entrei em..."
Sumiço de dinheiro do saldo da conta,"Agora no mês de fevereiro de 2025, notei que está faltando R$ 25,25 na minha conta, sem que haja algum lançamento negativo qu..."
Cartão de crédito,Oi boa noite poderia reativar meu cartão de crédito
Bloquearam minha conta sem motivos,"Fui usar minha conta e deu erro na transferência pix , depois tentei um novo pagamento que também deu erroEntrei em con..."
Cancelaram minha conta após uma contestação,"Vamos lá, fizeram uma contestação na minha conta, o serviço foi prestado, eu tenho o comprovante tudo certinho, até entrei em..."
TENTEI REALIZAR SAQUE E NÃO SAIU,Boa noite. Tentei realizar um saque de R$900 reais e as cédulas não saíram entrei em contato com a nubank e informaram que nã...
Cobrança inadequada,"No mês de janeiro, realizei duas compras no site da Shein, e ambas foram canceladas pela própria empresa, com o reembolso sen..."
[Editado pelo Reclame Aqui] no Cartão Virtual - Compra [Editado pelo Reclame Aqui],Estou tentando cancelar uma compra no meu cartão de crédito virtual que foi [Editado pelo Reclame Aqui]. Entrei em contato vi...
Não consigo finalizar meu cadastro,Olá pessoal como vai?Ja tentei algumas vezes utilizar o Nubank mas nunca consigo finalizar o cadastro sempre diz que va...
Reclamação sobre Bloqueio Judicial e Dificuldade de Comunicação com o Setor Jurídico,"Prezados,Venho por meio deste expressar minha insatisfação em relação ao bloqueio judicial em minha conta no NUBA..."
Reativação de crédito,"Paguei minha dívida, continuo movimentando muito a minha conta e ainda não consegui reativar o meu cartão de crédito"
Retido meu investimento,tenho uma caixinha no nubank para Emergência Resgate imediato bloquearam o meu Resgate alegando que eu tenho empréstimos a v...
Empréstimo,"Olá me chamo *******, possuo conta no banco nubank há um bom tempo, e não disponibilizam empréstimo para mim. Estou enviando..."
Não dão nem alimento de limite e nem empréstimo mas,A meses . não alimenta o limite de cartão de crédito . e nem dao empréstimo . pago tudo direitinho. E ate agora nada já tem m...
Cartão virtual clonado,"Na data de 24/02/2025 recebi uma notificação de compra no aplicativo Nubank na loja Electrolux no valor R$9.706,80. Oco..."
Cartão de crédito cancelado,"Gostaria. novamente de usar o meu cartão de crédito, sou um bom cliente pago todas as minhas faturas, gostaria de ativar o me..."
Não consigo acessar minha conta da Nubank!,"Troquei de aparelho celular. Baixei o aplicativo no novo aparelho, fiz o login e confirmei no e-mail a autenticidade do login..."
Pix no cartão de crédito,"Não reconheço Um Pix Feito Com Meu Cartão De Crédito No Valor De 900 Reais , Para Vanessa dos Santos pereira Não Fui E..."
Unificação das Faturas,Me programei para pagar a fatura de fevereiro de 2025 como sempre paguei. Mas quando fui pagar o valor que já sabia que seria...
Reembolso,"Fiz uma compra que não chegou na shein,pedi o reembolso e dizem que já foi reembolsado.Já fiz a reclamação com eles e u..."
[Editado pelo Reclame Aqui] PIX NUBANK PARA OUTRA INSTITUIÇÃO.,"Foi efetuado 3 Pix da minha conta , para outras instituições financeiras durante a madrugada no valor total de 2270 reais . P..."
[Editado pelo Reclame Aqui] PIX NUBANK PARA OUTRA INSTITUIÇÃO.,"Foi efetuado 3 Pix da minha conta , para outras instituições financeiras durante a madrugada no valor total de 2270 reais . P..."
Comunicado de Falecimento,Estamos tentando contato com o Nubank desde Janeiro para comunicar o falecimento da minha sogra e encerrar a conta junto ao N...
Cartão de crédito cancelado,"Olá boa noite, sou cliente nubank a alguns anos e nunca tive problema com vocês, infelizmente fiz uma dívida no cartão e não ..."
"Pedir o resgate no valor de 270, 06 do tesouro IPCA 2035 e após 24 horas não caiu nada na minha conta.","Olá venho aqui no RA pleitar o reembolso no valor de 270,06 , referente o pedido de resgate do tesouro IPCA 2035, pois no apl..."
Renegociação de dívida,"Solicito, por favor, ajuda para negociar minha dívida. Não consigo contato com a central e preciso resolver essa pendência ur..."
"Pedido feito na 99 ,na qual a motorista não compareceu e finalizou a viagem ,a viagem foi descontada no meu cartão nubank.","No dia 25/02/2025 ,precisei pedir uma viagem na 99 para ir do hotel o de eu tava com minha mulher ,até a rodoviária de Manau..."
Apelo pela reativação da minha conta e do cartão de crédito,"A um tempo venho tendo problemas com minha conta e cartão. Tive minha conta [Editado pelo Reclame Aqui], e depois de anos con..."
Preciso cancelar negociação de cartão,Vai fazer 4 meses que estou sem salário devido ao acidente de trabalho no mês de dezembro a empresa me pagou certinho os prim...
Cartão de crédito cancelado,"Boa noite, eu passei por um momento que não consegui pagar as parcelas do cartão e acabou acumulando, porém eu paguei o acord..."
Cartão de crédito cancelado sem querer.,Olá nubank gostaria de fazer uma reclamação em relação ao meu cartão de crédito que foi cancelado por pedido meu em 2022 por ...
