title,description,categoria,titulo_limpo,descricao_limpa,tokens_titulo,tokens_descricao,sentimento_titulo,sentimento_descricao
DATA DE VENCIMENTO,"SOU CLIENTE A ANOS DA NUBANK, MEU CARTÃO ESTA COM O LIMITE TODO LIBERADO, NÃO TEM NADA EM ABERTO E NENHUM PARCELAMENTO E NÃO ...",Outros,data de vencimento,sou cliente a anos da nubank meu cartão esta com o limite todo liberado não tem nada em aberto e nenhum parcelamento e não,"['dat', 'venc']","['client', 'ano', 'nubank', 'cart', 'limit', 'tod', 'liber', 'nad', 'abert', 'nenhum', 'parcel']",1,1
Nubank se recusa a devolver valores enviados para carteira própria deles.,"No dia 09/02/2025, cometi um erro ao realizar uma transferência para minha conta do Nubank, enviando 300 USDT em vez de USDC ...",Outros,nubank se recusa a devolver valores enviados para carteira própria deles,no dia cometi um erro ao realizar uma transferência para minha conta do nubank enviando usdt em vez de usdc,"['nubank', 'recus', 'devolv', 'val', 'envi', 'cart', 'própr']","['dia', 'comet', 'err', 'realiz', 'transfer', 'cont', 'nubank', 'envi', 'usdt', 'vez', 'usdc']",1,1
Devolução de saldo,"Estou a mais de uma semana esperando a devolução do meu saldo, simplesmente encerrar minha conta, e só estão enrolando para f...",Conta,devolução de saldo,estou a mais de uma semana esperando a devolução do meu saldo simplesmente encerrar minha conta e só estão enrolando para f,"['devoluç', 'sald']","['seman', 'esper', 'devoluç', 'sald', 'simples', 'encerr', 'cont', 'enrol']",1,1
Análise de crédito que nunca acomrece e não dá aumento no cartão de crédito,"Todo dia 5 tem analize ,e não analisam nada o limite do cartão e baixo eu uso a conta ao máximo,",Cartão de Crédito,análise de crédito que nunca acomrece e não dá aumento no cartão de crédito,todo dia tem analize e não analisam nada o limite do cartão e baixo eu uso a conta ao máximo,"['anális', 'crédit', 'nunc', 'acomrec', 'aument', 'cart', 'crédit']","['tod', 'dia', 'analiz', 'analis', 'nad', 'limit', 'cart', 'baix', 'uso', 'cont', 'máx']",1,1
Dificuldade para trazer ativos de outra corretora,"Bom https://******* aqui expressar o meu lamento em relação a Nu Corretora,quanto a transferência de ativos de outra corretor...",Outros,dificuldade para trazer ativos de outra corretora,bom aqui expressar o meu lamento em relação a nu corretoraquanto a transferência de ativos de outra corretor,"['dificuldad', 'traz', 'ativ', 'outr', 'corre']","['bom', 'aqu', 'express', 'lament', 'relaç', 'corretoraquant', 'transfer', 'ativ', 'outr', 'corre']",2,3
Recusa da cancelamento de parcelas,"Hoje eu fiz uma simulação de parcelamento da minha fatura que ainda iria vencer, mas como achei os juros abusivos, decidi pag...",Empréstimo,recusa da cancelamento de parcelas,hoje eu fiz uma simulação de parcelamento da minha fatura que ainda iria vencer mas como achei os juros abusivos decidi pag,"['recus', 'cancel', 'parcel']","['hoj', 'fiz', 'simul', 'parcel', 'fatur', 'aind', 'iri', 'venc', 'ach', 'jur', 'abus', 'decid', 'pag']",1,3
Bloqueia preventivo,"Porque o meu cartão está bloqueado preventivamente se quem utilizou ele nas 24horas foi eu mesmo, espero que desbloqueie logo...",Outros,bloqueia preventivo,porque o meu cartão está bloqueado preventivamente se quem utilizou ele nas horas foi eu mesmo espero que desbloqueie logo,"['bloque', 'preven']","['porqu', 'cart', 'bloque', 'preventiv', 'utiliz', 'hor', 'esper', 'desbloquei', 'log']",1,1
Juros abusivo !,"Adiantei umas parcelas que tinha no meu cartão e depois esqueci de pagar a fatura na data correta (dia 20), fui olhar no dia ...",Cartão de Crédito,juros abusivo,adiantei umas parcelas que tinha no meu cartão e depois esqueci de pagar a fatura na data correta dia fui olhar no dia,"['jur', 'abus']","['adiant', 'uma', 'parcel', 'cart', 'esquec', 'pag', 'fatur', 'dat', 'corret', 'dia', 'olh', 'dia']",1,1
Não querem reembolsar valor enviado,Eu tenho ludopatia constatada. E perdi todo dinheiro dos meus pais com apostas. Isso nos colocou no fundo do poço e entrei nu...,Outros,não querem reembolsar valor enviado,eu tenho ludopatia constatada e perdi todo dinheiro dos meus pais com apostas isso nos colocou no fundo do poço e entrei nu,"['quer', 'reembols', 'val', 'envi']","['ludopat', 'constat', 'perd', 'tod', 'dinh', 'pal', 'apost', 'coloc', 'fund', 'poç', 'entr']",1,1
Compra parcelada cancelada continua sendo cobrada,"Bom dia!Fiz uma compra no meu cartao de crédito online, parcelada em 12x. Na primeira parcela, eu já efetuei o pagament...",Empréstimo,compra parcelada cancelada continua sendo cobrada,bom diafiz uma compra no meu cartao de crédito online parcelada em x na primeira parcela eu já efetuei o pagament,"['compr', 'parcel', 'cancel', 'continu', 'send', 'cobr']","['bom', 'diafiz', 'compr', 'carta', 'crédit', 'onlin', 'parcel', 'prim', 'parcel', 'efet', 'pagament']",1,5
AUTORIZAÇÃO DE DISPOSITIVO SEM RECONHECIMENTO FACIAL,"Solicitei a alguns dias atrás a liberação do meu celular sem reconhecimento facial, visto que minha câmera frontal está quebr...",Outros,autorização de dispositivo sem reconhecimento facial,solicitei a alguns dias atrás a liberação do meu celular sem reconhecimento facial visto que minha câmera frontal está quebr,"['autor', 'disposi', 'reconhec', 'fac']","['solicit', 'algum', 'dia', 'atrás', 'liber', 'celul', 'reconhec', 'fac', 'vist', 'câm', 'front', 'quebr']",1,1
Pix sem autorização,"Foi feito um Pix sem autorização, de R$10 e o destino foi para DELCRED, sendo que nunca ouvir falar e no momento da transfer...",Pix,pix sem autorização,foi feito um pix sem autorização de r e o destino foi para delcred sendo que nunca ouvir falar e no momento da transfer,"['pix', 'autor']","['feit', 'pix', 'autor', 'destin', 'delcred', 'send', 'nunc', 'ouv', 'fal', 'moment', 'transf']",1,1
Paguei a fatura e não voltou o Limite,"Paguei a fatura só cartão com garantia e não voltou meu limite, esse Limite eu não ganhei eu coloquei em dinheiro, e simplesm...",Cartão de Crédito,paguei a fatura e não voltou o limite,paguei a fatura só cartão com garantia e não voltou meu limite esse limite eu não ganhei eu coloquei em dinheiro e simplesm,"['pag', 'fatur', 'volt', 'limit']","['pag', 'fatur', 'cart', 'garant', 'volt', 'limit', 'limit', 'ganh', 'coloq', 'dinh', 'simplesm']",1,1
Estou sendo cobrada 2x por uma compra,"Dia 07/11/24 fiz uma compra no Atacadão, deu tudo certo, passou certinho no cartão em 2x,no valor de 665,65. Não sei o que ho...",Outros,estou sendo cobrada x por uma compra,dia fiz uma compra no atacadão deu tudo certo passou certinho no cartão em xno valor de não sei o que ho,"['send', 'cobr', 'compr']","['dia', 'fiz', 'compr', 'atac', 'deu', 'tud', 'cert', 'pass', 'cert', 'cart', 'xno', 'val', 'sei']",1,1
cartão de crédito cancelado,cartão de crédito cancelado pois preciso muito do meu cartão sempre tive uma boa relação com a empresa sempre paguei as fatur...,Cartão de Crédito,cartão de crédito cancelado,cartão de crédito cancelado pois preciso muito do meu cartão sempre tive uma boa relação com a empresa sempre paguei as fatur,"['cart', 'crédit', 'cancel']","['cart', 'crédit', 'cancel', 'poi', 'precis', 'cart', 'sempr', 'boa', 'relaç', 'empr', 'sempr', 'pag', 'fatur']",1,1
Cai em um [Editado pelo Reclame Aqui] de um serviço do toldo e policarbonato,"No mês de Outubro de 2024,eu solicitei um serviço de toldo e policarbonato em Maricá. No valor de $ 5.900. Onde meu filho fez...",Outros,cai em um editado pelo reclame aqui de um serviço do toldo e policarbonato,no mês de outubro de eu solicitei um serviço de toldo e policarbonato em maricá no valor de onde meu filho fez,"['cai', 'edit', 'reclam', 'aqu', 'serviç', 'told', 'policarbonat']","['mê', 'outubr', 'solicit', 'serviç', 'told', 'policarbonat', 'maric', 'val', 'ond', 'filh', 'fez']",1,1
Acordo não sendo respeitado,"Fiz a renegociação para por em dia meu emprestimo, foi aceita, e depositei o dinheiro na conta para desconto da entrada confo...",Outros,acordo não sendo respeitado,fiz a renegociação para por em dia meu emprestimo foi aceita e depositei o dinheiro na conta para desconto da entrada confo,"['acord', 'send', 'respeit']","['fiz', 'renegoci', 'dia', 'emprest', 'aceit', 'deposit', 'dinh', 'cont', 'descont', 'entr', 'conf']",1,1
Compra,"Fiz uma compra recentemente de um produto em um website e o vendedor desapareceu após a compra o pix foi de 52,77",Outros,compra,fiz uma compra recentemente de um produto em um website e o vendedor desapareceu após a compra o pix foi de,['compr'],"['fiz', 'compr', 'recent', 'produt', 'websit', 'vend', 'desaparec', 'após', 'compr', 'pix']",5,1
Boa noite! Gostaria de mudar a data do meu empréstimo.,"No dia 02/01 eu pedi para diminuir meu empréstimo, porém a data ficou último dia útil, não dá nem tempo de eu anotar as divid...",Empréstimo,boa noite gostaria de mudar a data do meu empréstimo,no dia eu pedi para diminuir meu empréstimo porém a data ficou último dia útil não dá nem tempo de eu anotar as divid,"['boa', 'noit', 'gost', 'mud', 'dat', 'emprést']","['dia', 'ped', 'diminu', 'emprést', 'porém', 'dat', 'fic', 'últ', 'dia', 'útil', 'temp', 'anot', 'divid']",4,1
Juros abusivos cobranças,Venho por meio desda solicitação do reclame aqui mais uma estorna minha indignação a alguns meses já que a nubank vem me co...,Cartão de Crédito,juros abusivos cobranças,venho por meio desda solicitação do reclame aqui mais uma estorna minha indignação a alguns meses já que a nubank vem me co,"['jur', 'abus', 'cobranç']","['venh', 'mei', 'desd', 'solicit', 'reclam', 'aqu', 'estorn', 'indign', 'algum', 'mes', 'nubank', 'vem']",1,1
